checkpoint,position,is_home,formation,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third,scored_after,cumul_in_game_time,cumul_received_succ,cumul_received_unsucc,cumul_times_pressured,cumul_pressured_succ,cumul_pressured_unsucc,cumul_pressured_success_rate,cumul_pressures_applied,cumul_pressures_won,cumul_pressures_lost,cumul_pressure_success_rate
H1_45,M,True,4-3-3,7,33,502.75,6.602,8.44,1,0,1,1,0,44,10,1,9,5,4,0.5555555555555556,16,10,6,0.625
H2_15,M,True,4-3-3,10,47,715.17,6.63,8.47,1,0,1,1,0,59,13,2,10,5,5,0.5,18,11,7,0.6111111111111112
H1_15,A,True,4-3-3,4,6,153.62,7.338,9.32,0,0,0,0,0,14,2,1,2,0,2,0.0,5,1,4,0.2
H1_30,A,True,4-3-3,7,14,276.96,7.155,9.32,0,0,0,0,0,29,9,1,12,7,5,0.5833333333333334,9,1,8,0.1111111111111111
H1_45,A,True,4-3-3,9,18,415.81,7.203,9.33,0,0,0,0,0,44,12,1,17,8,9,0.47058823529411764,13,1,12,0.07692307692307693
H2_15,A,True,4-3-3,10,25,511.3,7.057,9.33,0,0,0,0,0,59,13,3,20,10,10,0.5,14,1,13,0.07142857142857142
H2_30,A,True,4-3-3,10,29,572.53,6.986,9.33,1,0,0,1,0,74,14,3,21,11,10,0.5238095238095238,0,0,0,0.0
H2_15,A,True,4-3-3,0,2,20.79,6.39,6.87,0,0,0,0,0,3,1,0,0,0,0,0.0,3,2,1,0.6666666666666666
H2_30,A,True,4-3-3,1,12,172.86,6.603,7.4,0,0,0,0,0,18,2,0,2,0,2,0.0,4,3,1,0.75
H1_15,A,True,4-3-3,2,8,117.47,6.602,8.14,0,0,0,0,0,14,4,0,4,2,2,0.5,3,0,3,0.0
H1_30,A,True,4-3-3,2,14,208.39,6.461,8.14,0,0,0,0,0,29,5,0,0,0,0,0.0,4,0,4,0.0
H1_45,A,True,4-3-3,4,22,355.84,6.565,8.14,1,0,1,1,0,44,0,0,6,3,3,0.5,10,3,7,0.3
H1_15,D,True,4-3-3,1,13,157.4,6.306,8.1,0,0,0,0,0,14,5,2,6,0,6,0.0,5,0,5,0.0
H1_30,D,True,4-3-3,3,26,400.2,6.533,8.64,0,0,0,0,0,29,10,2,11,1,10,0.09090909090909091,8,2,6,0.25
H1_45,D,True,4-3-3,5,32,503.47,6.561,8.64,0,0,0,0,0,44,13,3,16,4,12,0.25,14,7,7,0.5
H2_15,D,True,4-3-3,10,43,699.65,6.652,8.64,0,0,0,0,0,59,19,4,18,5,13,0.2777777777777778,0,0,0,0.0
H2_30,D,True,4-3-3,11,51,837.0,6.646,8.71,0,0,0,0,0,74,21,6,21,6,15,0.2857142857142857,15,8,7,0.5333333333333333
H1_15,M,True,4-3-3,1,12,129.95,6.338,7.3,0,0,0,0,0,14,8,2,7,3,4,0.42857142857142855,10,4,6,0.4
H1_30,M,True,4-3-3,1,21,268.35,6.323,7.3,0,0,0,0,0,29,15,4,16,9,7,0.5625,14,7,7,0.5
H1_45,M,True,4-3-3,3,23,346.27,6.449,8.52,0,0,0,0,0,44,20,4,21,12,9,0.5714285714285714,22,9,13,0.4090909090909091
H2_15,M,True,4-3-3,4,29,408.72,6.438,8.52,0,0,0,0,0,59,23,4,22,12,10,0.5454545454545454,27,10,17,0.37037037037037035
