iter	PRAUC:type=Classic;use_weights=false	Logloss	BrierScore:use_weights=false	Logloss:use_weights=true	Logloss:use_weights=false
290	0.1044482705	0.5229402921	0.1180673696	0.5229402921	0.4169409994
291	0.1045722103	0.5227473129	0.1179305632	0.5227473129	0.4166157938
292	0.1045322215	0.5225169043	0.1177488091	0.5225169043	0.4161833745
293	0.1045301624	0.5222937508	0.1175385566	0.5222937508	0.4156913498
294	0.1045301624	0.5220669794	0.1173257944	0.5220669794	0.4151932812
295	0.1045301624	0.5218417461	0.1171142132	0.5218417461	0.414697609
296	0.1046747228	0.5216294403	0.1169232871	0.5216294403	0.4142499781
297	0.1042317452	0.5213921282	0.1167167341	0.5213921282	0.4137628572
298	0.1042707813	0.5212007744	0.1165503381	0.5212007744	0.4133686543
299	0.1042966148	0.5209909892	0.1163516385	0.5209909892	0.4129011548
300	0.1046322735	0.5207252323	0.1161750677	0.5207252323	0.4124771439
301	0.1045582579	0.5205677929	0.1160433421	0.5205677929	0.4121624964
302	0.1045479511	0.5203576361	0.1158646122	0.5203576361	0.4117381608
303	0.1045303989	0.5201315877	0.1156974552	0.5201315877	0.4113365369
304	0.1045303989	0.5199176949	0.1154946908	0.5199176949	0.4108587385
305	0.104853545	0.5196608089	0.115286734	0.5196608089	0.4103646252
306	0.1054002879	0.5194253436	0.1150818338	0.5194253436	0.4098779378
307	0.1054002879	0.5192157337	0.1148824	0.5192157337	0.4094069277
308	0.1055606822	0.5189998604	0.1147197366	0.5189998604	0.4090176877
309	0.1055981268	0.5188150968	0.1145462256	0.5188150968	0.4086052496
310	0.1050003865	0.5186467231	0.1143941552	0.5186467231	0.4082444929
311	0.1051942512	0.5184476372	0.1142161683	0.5184476372	0.4078214124
312	0.1059176117	0.5182314877	0.1140474506	0.5182314877	0.4074154505
313	0.1059725332	0.517973941	0.1138509506	0.517973941	0.406941495
314	0.1059650744	0.5178455234	0.1137442955	0.5178455234	0.4066847939
315	0.1059650744	0.5176450932	0.1135520388	0.5176450932	0.4062284513
316	0.1054261899	0.5174479871	0.113362255	0.5174479871	0.4057775616
317	0.1059071364	0.5172622155	0.1131859616	0.5172622155	0.4053569251
318	0.1060676739	0.5170823452	0.1130416252	0.5170823452	0.4050111711
319	0.1060676739	0.5168868044	0.1128531765	0.5168868044	0.404562666
320	0.106010751	0.5166706313	0.1126783008	0.5166706313	0.4041399839
321	0.106010751	0.516477582	0.112491803	0.516477582	0.4036954969
322	0.1060781825	0.5162615177	0.1123023942	0.5162615177	0.4032402889
323	0.1060781825	0.5160710618	0.1121179235	0.5160710618	0.4027999883
324	0.1059332659	0.5158710264	0.1119581197	0.5158710264	0.4024110081
325	0.1059332659	0.5156829205	0.1117754936	0.5156829205	0.4019745184
326	0.1061425597	0.5155010201	0.1116097219	0.5155010201	0.4015753618
327	0.1056037045	0.5153172112	0.1114303524	0.5153172112	0.4011459764
328	0.1056860689	0.5151360254	0.1112983486	0.5151360254	0.4008229254
329	0.1058923795	0.5149276837	0.111121774	0.5149276837	0.4003979839
330	0.1058923795	0.5147452423	0.1109436025	0.5147452423	0.3999707201
331	0.1060319637	0.5145729708	0.1108133674	0.5145729708	0.3996524725
332	0.1061015772	0.5143493224	0.110631286	0.5143493224	0.3992106931
333	0.1063003246	0.5141010889	0.1104473264	0.5141010889	0.3987642587
334	0.106305689	0.513879285	0.1102662767	0.513879285	0.3983248955
335	0.1063651881	0.5136713259	0.1100858389	0.5136713259	0.3978872155
336	0.1066727644	0.513485886	0.1099277685	0.513485886	0.3975036358
337	0.1066111599	0.5132961024	0.10975406	0.5132961024	0.397083183
338	0.106926866	0.5131598604	0.1096365085	0.5131598604	0.3967984206
339	0.1069052739	0.5129564566	0.109490272	0.5129564566	0.3964366178
340	0.1069052739	0.5127847069	0.1093205971	0.5127847069	0.3960269975
341	0.1069052739	0.5126141144	0.1091518324	0.5126141144	0.3956192861
342	0.106918353	0.5124289178	0.109003011	0.5124289178	0.3952518019
343	0.1070423702	0.5122313825	0.1088623422	0.5122313825	0.3949086067
344	0.1070423702	0.51206376	0.1086959478	0.51206376	0.3945058447
345	0.1077183937	0.5118757601	0.1085220662	0.5118757601	0.3940833206
346	0.1072689632	0.5117086538	0.1083688405	0.5117086538	0.3937087405
347	0.1072070608	0.5115342848	0.1082151128	0.5115342848	0.3933302328
348	0.107273681	0.5113446761	0.1080756949	0.5113446761	0.3929829063
349	0.1076707132	0.5111806125	0.1079146337	0.5111806125	0.3925910566
350	0.1076672023	0.5109873193	0.1077571711	0.5109873193	0.3922007054
351	0.1076530253	0.5108463773	0.1076121416	0.5108463773	0.3918476937
352	0.1076530253	0.5106870249	0.1074523238	0.5106870249	0.391458764
353	0.1076530253	0.5105301607	0.1072944202	0.5105301607	0.3910741153
354	0.1075445502	0.5103722221	0.1071380885	0.5103722221	0.3906925676
355	0.1075583101	0.5101860742	0.1069756908	0.5101860742	0.3902921394
356	0.10755411	0.5100330292	0.1068207742	0.5100330292	0.3899139891
357	0.1076551303	0.509872486	0.1066894613	0.509872486	0.3895883233
358	0.1076551303	0.5097192189	0.1065344917	0.5097192189	0.3892096564
359	0.1076269312	0.5095767157	0.1063877264	0.5095767157	0.3888505205
360	0.1076888785	0.5093650905	0.1062351792	0.5093650905	0.3884672694
361	0.1076628667	0.5091871723	0.106099256	0.5091871723	0.388125857
362	0.1076628667	0.5090376859	0.105947328	0.5090376859	0.3877536367
363	0.1077311035	0.5089176265	0.1058508284	0.5089176265	0.3875144813
364	0.1079486755	0.5087230435	0.1057234265	0.5087230435	0.3871948622
365	0.1078840738	0.5085474822	0.1055637566	0.5085474822	0.386800723
366	0.1079570184	0.5084019838	0.1054207904	0.5084019838	0.3864497495
367	0.10792857	0.5082765957	0.1052895676	0.5082765957	0.3861266461
368	0.1078408103	0.5081017947	0.1051313002	0.5081017947	0.3857348921
369	0.107979993	0.5079426505	0.1050219588	0.5079426505	0.3854579541
